CaseID,B3,ND2,B7_b,GH1,ppeducat,race_5cat,weight,weight_pop
4841,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.9288,20308.8895
4842,Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.6406,14007.173
4843,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7155,15644.4908
4844,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.397,30547.111
4845,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Hispanic,2.3444,51262.7454
4846,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4129,9028.7879
4847,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.7362,16098.9296
4848,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6467,14140.9356
4849,About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian,1.3747,30058.8039
4850,About the same,About the same,Poor,Pay rent,Some college or Associate's degree,Black,0.8979,19634.7271
4851,About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7456,16302.7652
4852,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.8097,17704.7623
4853,About the same,Somewhat higher,Only fair,Pay rent,Some college or Associate's degree,Black,1.2842,28081.4038
4854,Somewhat better off,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.3819,8349.6505
4855,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.3164,28784.3601
4856,Somewhat better off,About the same,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.8505,18596.2755
4857,Much worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7192,15725.5652
4858,Much better off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.8933,41398.8617
4859,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.764,16705.3888
4860,Somewhat better off,Somewhat higher,Good,Pay rent,High school graduate (high school diploma or the equivalent GED),Hispanic,2.008,43906.504
4861,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.8014,17522.8793
4862,Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.3259,28993.6131
4863,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.9374,20496.546
4864,Somewhat worse off,About the same,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.1465,25068.9661
4865,About the same,About the same,Only fair,Pay rent,Bachelor's degree or higher,White,0.5558,12153.1069
4866,Much better off,Much lower,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.1453,25043.4142
4867,Somewhat better off,Much lower,Only fair,Pay rent,Some college or Associate's degree,White,1.1569,25296.5197
4868,Somewhat better off,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.2163,26595.1823
4869,Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.9097,19891.9709
4870,Somewhat better off,Much lower,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.7362,16098.9296
4871,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.1314,24740.243
4872,Much worse off,Much higher,Poor,Own your home with a mortgage or loan,No high school diploma or GED,Other,0.6775,14813.4874
4873,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Black,0.9193,20101.1928
4874,About the same,About the same,Good,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.531,11611.0852
4875,About the same,About the same,Only fair,Pay rent,Bachelor's degree or higher,Black,0.7011,15330.2101
4876,Somewhat worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.2057,26364.7371
4877,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6427,14052.8508
4878,Somewhat worse off,Somewhat higher,Poor,Pay rent,Bachelor's degree or higher,Black,1.1049,24159.5612
4879,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),No high school diploma or GED,White,1.1244,24586.1453
4880,Somewhat worse off,About the same,Only fair,Pay rent,Bachelor's degree or higher,White,0.8544,18683.0567
4881,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4966,10857.7405
4882,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.6116,13374.1585
4883,Somewhat worse off,About the same,Only fair,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),White,0.7607,16633.7352
4884,Much better off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.094,23922.6348
4885,Somewhat worse off,About the same,Only fair,Neither own nor pay rent,Some college or Associate's degree,White,1.0998,24048.8575
4886,About the same,About the same,Excellent,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Other,0.226,4941.5671
4887,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5773,12622.8689
4888,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.2186,26646.7085
4889,Somewhat better off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,1.1582,25325.7021
4890,About the same,About the same,Poor,Neither own nor pay rent,Some college or Associate's degree,Other,0.3989,8722.2784
4891,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6902,15092.0511
4892,Much worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6116,13374.1585
4893,Somewhat better off,About the same,Poor,Pay rent,Bachelor's degree or higher,Black,1.1063,24189.9599
4894,Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,1.3156,28768.0397
4895,Somewhat worse off,About the same,Poor,Pay rent,No high school diploma or GED,White,0.8357,18273.326
4896,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.8598,18800.2184
4897,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.604,13207.1118
4898,About the same,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Hispanic,1.8471,40388.7621
4899,About the same,Somewhat higher,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.1939,26105.6594
4900,About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Hispanic,2.9101,63632.6774
4901,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Asian,2.1803,47674.3738
4902,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.7202,15748.3939
4903,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),No high school diploma or GED,White,0.987,21581.1406
4904,Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,Asian,1.3883,30357.1133
4905,About the same,Somewhat higher,Only fair,Neither own nor pay rent,Some college or Associate's degree,White,1.919,41960.9119
4906,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6403,14001.9772
4907,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Hispanic,0.6084,13303.576
4908,Much worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.9141,19988.6603
4909,Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,White,0.5558,12153.1069
4910,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6913,15116.4069
4911,Much worse off,Much higher,Poor,Pay rent,Bachelor's degree or higher,Hispanic,0.9385,20520.8328
4912,Somewhat worse off,Much higher,Only fair,Pay rent,Bachelor's degree or higher,Asian,1.4243,31143.9743
4913,About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,White,0.7378,16131.8983
4914,About the same,Somewhat higher,Only fair,Neither own nor pay rent,Bachelor's degree or higher,White,1.0282,22482.9052
4915,Somewhat better off,Somewhat lower,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Black,1.1114,24301.6741
4916,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.1747,25685.9139
4917,Somewhat better off,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Black,0.7561,16533.8846
4918,Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Other,0.2194,4798.4418
4919,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,1.1747,25685.9139
4920,Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.7458,16308.8148
4921,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian,1.0748,23502.2941
4922,Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.4776,10443.0136
4923,Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.7193,37595.4599
4924,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Black,0.9294,20322.4329
4925,Somewhat worse off,About the same,Good,Neither own nor pay rent,Some college or Associate's degree,White,0.7312,15987.9468
4926,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.4881,32538.3112
4927,Somewhat better off,Much lower,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,1.0043,21960.6095
4928,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.094,23922.6348
4929,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black,1.4482,31666.032
4930,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7729,16899.5227
4931,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5885,12868.1023
4932,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7658,16745.0487
4933,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.701,15327.3057
4934,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7382,16142.5632
4935,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6399,13992.7265
4936,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.3455,29421.0976
4937,About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),Hispanic,1.9861,43428.516
4938,Somewhat better off,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Hispanic,1.5691,34309.8231
4939,About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.8097,17704.7623
4940,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.8331,18215.8346
4941,Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Other,0.218,4767.07
4942,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.9621,21037.9463
4943,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,1.1259,24619.3862
4944,Much better off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.508,11108.9163
4945,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Hispanic,1.4064,30753.6219
4946,About the same,About the same,Only fair,Neither own nor pay rent,Bachelor's degree or higher,Hispanic,0.9488,20745.8822
4947,About the same,Somewhat higher,Poor,Pay rent,Some college or Associate's degree,White,0.9529,20837.024
4948,Somewhat better off,Much higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.3849,8416.1068
4949,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Hispanic,1.5809,34568.8155
4950,Somewhat worse off,About the same,Poor,Pay rent,No high school diploma or GED,White,1.1648,25469.4323
4951,Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,1.0238,22386.3929
4952,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6364,13914.758
4953,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.3164,28784.3601
4954,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5914,12930.8614
4955,Much better off,About the same,Only fair,Pay rent,Some college or Associate's degree,White,0.718,15700.0129
4956,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7192,15725.5652
4957,Much worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.9162,20034.5967
4958,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),No high school diploma or GED,White,1.3963,30530.9958
4959,Somewhat better off,About the same,Poor,Pay rent,Some college or Associate's degree,White,1.0807,23631.7925
4960,Somewhat better off,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,1.1636,25442.7945
4961,Much better off,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,White,0.8108,17730.1986
4962,About the same,Much higher,Only fair,Pay rent,Bachelor's degree or higher,Black,1.1691,25563.5836
4963,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7394,16168.3354
4964,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Black,0.9055,19799.3672
4965,Somewhat better off,Much higher,Excellent,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6142,13431.1949
4966,About the same,Much higher,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.673,14715.7153
4967,Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.8097,17704.7623
4968,Somewhat better off,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Other,0.1677,3666.6386
4969,About the same,About the same,Poor,Pay rent,Some college or Associate's degree,Hispanic,1.1954,26139.6599
4970,Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Black,0.9713,21238.8125
4971,About the same,About the same,Only fair,Pay rent,No high school diploma or GED,Black,1.4778,32314.2278
4972,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6292,13758.0015
4973,Much worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,0.7711,16861.8687
4974,About the same,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6116,13374.1585
4975,Somewhat worse off,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5987,13090.7683
4976,About the same,About the same,Poor,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),White,2.8542,62410.7535
4977,About the same,Somewhat lower,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.6988,15280.2056
4978,Somewhat worse off,Somewhat lower,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7456,16302.7652
4979,About the same,Somewhat higher,Good,Neither own nor pay rent,Some college or Associate's degree,White,1.2911,28231.1125
4980,About the same,About the same,Only fair,Pay rent,Bachelor's degree or higher,White,1.6143,35298.2167
4981,About the same,Much higher,Poor,Pay rent,Some college or Associate's degree,White,0.783,17121.386
4982,Somewhat better off,About the same,Only fair,Pay rent,Some college or Associate's degree,White,1.3589,29713.0783
4983,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Other,0.2813,6150.2142
4984,Somewhat worse off,About the same,Good,Own your home with a mortgage or loan,No high school diploma or GED,Hispanic,2.0904,45710.3228
4985,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6078,13289.8954
4986,Somewhat worse off,Somewhat higher,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.0034,21941.0214
4987,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.7385,16148.5533
4988,About the same,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.6988,15280.2056
4989,Somewhat worse off,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7456,16302.7652
4990,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.0968,23982.9993
4991,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.8241,18018.9597
4992,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4129,9028.7879
4993,Somewhat better off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.988,21603.5463
4994,Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.7436,16258.6986
4995,Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.3819,8349.6505
4996,Much better off,About the same,Poor,Neither own nor pay rent,Some college or Associate's degree,White,0.5464,11947.5322
4997,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.094,23922.6348
4998,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6469,14146.183
4999,Somewhat better off,Much higher,Poor,Pay rent,Bachelor's degree or higher,Hispanic,1.3233,28936.1622
5000,Much better off,Somewhat lower,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.5496,33884.2013
5001,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6078,13289.8954
5002,Much worse off,Much higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.9424,20607.1795
5003,Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.3606,7885.7157
5004,Somewhat worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),Other,0.4489,9816.7266
5005,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.8598,18800.2184
5006,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4642,10151.1496
5007,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.7312,15987.9468
5008,About the same,Somewhat higher,Only fair,Pay rent,No high school diploma or GED,Black,1.4474,31648.3546
5009,Somewhat better off,Somewhat higher,Only fair,Neither own nor pay rent,Bachelor's degree or higher,White,0.7977,17443.7602
5010,Much worse off,Much lower,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.7081,15483.2334
5011,About the same,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9967,21793.3678
5012,About the same,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5223,11421.6997
5013,About the same,Much lower,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,0.7542,16490.7957
5014,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4966,10857.7405
5015,About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.7899,17272.0782
5016,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.2642,27643.4111
5017,Much better off,About the same,Excellent,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6403,14001.9772
5018,Somewhat worse off,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7468,16329.0748
5019,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7729,16899.5227
5020,About the same,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,White,0.5749,12570.0952
5021,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.0012,21891.6326
5022,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7456,16302.7652
5023,Somewhat worse off,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian,0.8855,19362.5982
5024,Somewhat worse off,Somewhat higher,Only fair,Neither own nor pay rent,Bachelor's degree or higher,White,0.831,18171.4208
5026,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9536,20850.7995
5027,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.7496,16389.9298
5028,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,0.9055,19799.3672
5029,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.6772,36673.3913
5030,About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6913,15116.4069
5031,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Black,1.7929,39205.1805
5032,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.7385,16148.5533
5033,Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Black,0.8821,19288.9193
5034,Much better off,Somewhat higher,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Other,2.9895,65369.6898
5035,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4642,10151.1496
5036,Somewhat worse off,Somewhat higher,Only fair,Neither own nor pay rent,No high school diploma or GED,Hispanic,1.7727,38762.1103
5037,Much worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.0423,22791.0437
5038,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.0833,23687.5548
5039,Much worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.5591,12225.0555
5040,Somewhat better off,Much lower,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black,1.3529,29582.1365
5041,Somewhat worse off,About the same,Poor,Pay rent,No high school diploma or GED,White,1.0929,23896.9517
5042,About the same,Much higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9536,20850.7995
5044,About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,White,0.8907,19475.5771
5045,About the same,About the same,Good,Pay rent,Bachelor's degree or higher,White,1.0128,22146.0361
5046,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Black,0.7098,15521.4442
5047,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.5676,12411.014
5048,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.8915,19493.8887
5049,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,1.5084,32983.7615
5050,Somewhat better off,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6467,14140.9356
5051,About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.7193,37595.4599
5052,Somewhat worse off,Much higher,Only fair,Pay rent,No high school diploma or GED,White,0.8888,19435.5888
5053,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black,1.7205,37620.1583
5054,Much better off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7456,16302.7652
5055,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5433,11881.0489
5056,Somewhat better off,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,Asian,1.3115,28677.9425
5057,Somewhat worse off,Somewhat higher,Good,Pay rent,Bachelor's degree or higher,White,0.4642,10151.1496
5058,Somewhat better off,About the same,Only fair,Pay rent,Some college or Associate's degree,Black,0.9256,20239.2036
5059,About the same,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9051,19790.4153
5060,Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,Hispanic,0.5796,12674.1902
5061,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.9869,21579.2115
5062,About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,1.3589,29713.0783
5063,Somewhat better off,Somewhat lower,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7456,16302.7652
5064,Somewhat worse off,Somewhat lower,Only fair,Pay rent,Some college or Associate's degree,White,0.5989,13095.626
5065,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Other,0.4696,10267.7521
5066,Much better off,About the same,Only fair,Pay rent,Bachelor's degree or higher,Hispanic,0.7986,17463.0186
5067,About the same,About the same,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.8421,18413.5359
5068,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.778,17011.7611
5069,About the same,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5015,10965.4948
5070,About the same,About the same,Poor,Pay rent,Some college or Associate's degree,White,0.7102,15529.7006
5071,Much better off,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,Other,0.3948,8632.8633
5072,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.8764,19162.689
5073,About the same,Somewhat higher,Good,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.6406,14007.173
5074,Somewhat better off,Somewhat higher,Good,Own your home with a mortgage or loan,No high school diploma or GED,White,1.3664,29878.4672
5075,Somewhat better off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.927,20271.1524
5076,About the same,About the same,Only fair,Pay rent,No high school diploma or GED,Hispanic,1.7461,38181.3242
5077,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.779,17034.646
